number,Correct,Error,Total_Submissions,Easy questions,Medium questions,Hard questions,Cluster
zWhNdfivpK,21.0,163.0,184.0,141.0,31.0,12.0,1
mufArSPbMe,18.0,175.0,193.0,149.0,31.0,13.0,0
WxyyrTNpUO,18.0,165.0,183.0,145.0,25.0,13.0,0
QOOoObBxkV,12.0,154.0,166.0,130.0,23.0,13.0,0
HJcirlSzms,14.0,179.0,193.0,150.0,34.0,9.0,0
YuCyzbPBbJ,19.0,177.0,196.0,139.0,33.0,24.0,0
vqouVEIBOv,17.0,160.0,177.0,138.0,27.0,12.0,0
AGilWFzgLd,20.0,158.0,178.0,144.0,25.0,9.0,3
LTCJzHIMAU,15.0,156.0,171.0,132.0,27.0,12.0,0
EqEbMnsTFo,11.0,151.0,162.0,120.0,31.0,11.0,0
tWARMAYZCB,21.0,152.0,173.0,141.0,22.0,10.0,3
isVHbFRADK,14.0,162.0,176.0,129.0,29.0,18.0,0
TTRxnBHuiv,24.0,164.0,188.0,146.0,28.0,14.0,3
FoQKNkNRkp,14.0,187.0,201.0,136.0,42.0,23.0,3
KKsNFCxQhT,15.0,171.0,186.0,150.0,27.0,9.0,1
nCUHOmcgFk,18.0,140.0,158.0,120.0,24.0,14.0,0
dbeLLFjrEH,16.0,150.0,166.0,123.0,23.0,20.0,0
AcONVueKmZ,16.0,143.0,159.0,116.0,33.0,10.0,4
nDIJMVjwVD,15.0,180.0,195.0,158.0,17.0,20.0,1
PTBoMVGzZe,12.0,163.0,175.0,137.0,23.0,15.0,0
cKaQzJTViZ,22.0,147.0,169.0,128.0,25.0,16.0,1
ZUUYqHadof,19.0,152.0,171.0,137.0,19.0,15.0,4
KbARaFgzQb,10.0,173.0,183.0,135.0,29.0,19.0,4
mWystOUUjV,10.0,176.0,186.0,141.0,28.0,17.0,0
jMNASbswok,11.0,183.0,194.0,155.0,24.0,15.0,0
KEFRtfDgkv,20.0,159.0,179.0,145.0,25.0,9.0,4
OYukOXPMuL,15.0,162.0,177.0,145.0,20.0,12.0,1
VJzKPJRoMp,20.0,155.0,175.0,142.0,20.0,13.0,0
CGBMTtbdfZ,14.0,143.0,157.0,117.0,32.0,8.0,0
LzVqaUvdbA,13.0,170.0,183.0,141.0,21.0,21.0,1
TjwVxwcJZs,15.0,130.0,145.0,115.0,23.0,7.0,1
sPBRDLwjJt,16.0,156.0,172.0,129.0,36.0,7.0,0
RUErvgaDEH,20.0,173.0,193.0,141.0,35.0,17.0,0
eplkSTZzuT,19.0,174.0,193.0,141.0,33.0,19.0,0
KJJBhuvXQK,24.0,181.0,205.0,169.0,31.0,5.0,0
hkJXnqtEwe,15.0,165.0,180.0,131.0,38.0,11.0,3
HysKCbwTgD,12.0,167.0,179.0,140.0,23.0,16.0,3
IaDhLCZTGe,12.0,168.0,180.0,142.0,24.0,14.0,0
FsAZuHeMCF,16.0,163.0,179.0,135.0,30.0,14.0,0
qCvuipNxVe,12.0,156.0,168.0,123.0,33.0,12.0,0
vEZmPoGcZn,15.0,144.0,159.0,113.0,26.0,20.0,4
NQfBdtQqnA,14.0,152.0,166.0,130.0,25.0,11.0,4
DjZMIqDvSx,18.0,149.0,167.0,130.0,23.0,14.0,0
ZmxNBWCLza,17.0,149.0,166.0,124.0,33.0,9.0,0
EzxuJwuqQt,18.0,165.0,183.0,134.0,26.0,23.0,3
duIPGpuPWK,17.0,154.0,171.0,118.0,35.0,18.0,3
lKRtUaiTtf,11.0,177.0,188.0,134.0,35.0,19.0,1
ZRaklWICQd,13.0,154.0,167.0,123.0,27.0,17.0,0
wHzFeXiTwz,21.0,154.0,175.0,137.0,27.0,11.0,0
kCyReaJMdK,18.0,186.0,204.0,154.0,33.0,17.0,0
AFHEoJqWvl,34.0,320.0,354.0,276.0,58.0,20.0,0
iWbsxtDOPN,15.0,154.0,169.0,132.0,26.0,11.0,1
ngzLEMiTvt,19.0,178.0,197.0,143.0,35.0,19.0,1
IQmjfVQjDB,11.0,139.0,150.0,124.0,20.0,6.0,0
PZwVJHDjcR,12.0,190.0,202.0,154.0,31.0,17.0,3
pUYgLDWCNg,20.0,144.0,164.0,126.0,30.0,8.0,4
eUzhLFDhlv,13.0,160.0,173.0,121.0,39.0,13.0,3
mPDtJIUlBw,6.0,183.0,189.0,151.0,30.0,8.0,0
jxuSYZDXRS,11.0,172.0,183.0,142.0,26.0,15.0,3
pBDdapuswj,15.0,175.0,190.0,129.0,42.0,19.0,3
qZySAbYjBW,21.0,180.0,201.0,141.0,40.0,20.0,0
XaAGfqFiGH,21.0,165.0,186.0,142.0,27.0,17.0,1
svXQEcXBXP,12.0,162.0,174.0,120.0,41.0,13.0,0
iRdfnxJGbX,13.0,158.0,171.0,126.0,31.0,14.0,3
soqurLnsvR,17.0,164.0,181.0,128.0,38.0,15.0,4
dtvfEPTNLo,15.0,170.0,185.0,133.0,34.0,18.0,1
XiRkQUODlA,17.0,154.0,171.0,138.0,23.0,10.0,3
qDSwShFFwJ,18.0,159.0,177.0,129.0,28.0,20.0,3
buSmgMmhTk,11.0,180.0,191.0,151.0,34.0,6.0,4
ToUdCdhFwC,15.0,150.0,165.0,120.0,32.0,13.0,1
hmnCCdytmm,17.0,153.0,170.0,124.0,28.0,18.0,2
hoBymOSlXG,13.0,149.0,162.0,118.0,31.0,13.0,0
QwcTEBmniF,14.0,173.0,187.0,136.0,32.0,19.0,4
uzBOnJoZxl,16.0,185.0,201.0,152.0,39.0,10.0,1
jCdUDYIQMl,17.0,175.0,192.0,145.0,36.0,11.0,1
RZvzFATqFu,23.0,156.0,179.0,134.0,28.0,17.0,4
prTcpWCWJe,21.0,156.0,177.0,132.0,33.0,12.0,0
FwckbcNqIt,17.0,161.0,178.0,138.0,30.0,10.0,0
IHmKtploFT,18.0,157.0,175.0,137.0,29.0,9.0,0
qCkPjatQSn,14.0,152.0,166.0,120.0,28.0,18.0,4
MVeQtWkowo,18.0,159.0,177.0,125.0,31.0,21.0,1
xZiwlZZkmn,17.0,174.0,191.0,146.0,32.0,13.0,3
ausUZMLhLc,16.0,184.0,200.0,151.0,34.0,15.0,4
mrqsxrlQJY,15.0,172.0,187.0,153.0,23.0,11.0,1
hrRwhjHmCl,8.0,164.0,172.0,136.0,23.0,13.0,3
lEjZPsOFjJ,13.0,171.0,184.0,148.0,19.0,17.0,3
QKgqCPYMMS,16.0,157.0,173.0,135.0,29.0,9.0,1
aXCVPrWvgi,5.0,169.0,174.0,132.0,24.0,18.0,3
GrUzxJtDUX,18.0,174.0,192.0,140.0,36.0,16.0,1
FJRfYsnNZJ,13.0,153.0,166.0,128.0,26.0,12.0,0
GDvlEwoixk,10.0,171.0,181.0,141.0,24.0,16.0,0
RNPoFamhlW,10.0,163.0,173.0,129.0,28.0,16.0,4
ulvMVRvIie,24.0,172.0,196.0,144.0,33.0,19.0,1
xVEhrAvhfa,12.0,157.0,169.0,129.0,27.0,13.0,3
wpBzhkTlpG,22.0,148.0,170.0,140.0,21.0,9.0,0
aCMiFacXob,15.0,150.0,165.0,126.0,28.0,11.0,3
dhCJHCELLm,13.0,165.0,178.0,141.0,24.0,13.0,3
nnBNFOJrZj,15.0,155.0,170.0,124.0,32.0,14.0,3
jtDmVoOwkZ,10.0,187.0,197.0,160.0,27.0,10.0,3
ZawAmPZRHM,17.0,183.0,200.0,155.0,30.0,15.0,1
RUAJFGlUvo,15.0,155.0,170.0,123.0,32.0,15.0,3
qWBlkSZPlt,16.0,158.0,174.0,139.0,20.0,15.0,4
MXpvNHEJFm,18.0,170.0,188.0,146.0,29.0,13.0,0
kqoGKzIYSM,16.0,155.0,171.0,129.0,33.0,9.0,0
ZdKBiVclon,19.0,155.0,174.0,141.0,27.0,6.0,1
KnwAjWqWYq,18.0,166.0,184.0,143.0,23.0,18.0,0
anoebVQpmU,15.0,146.0,161.0,131.0,21.0,9.0,3
zXVBJvOFeW,14.0,145.0,159.0,119.0,29.0,11.0,0
KTczMACwnt,14.0,171.0,185.0,147.0,26.0,12.0,0
IUyfmcUApn,17.0,161.0,178.0,128.0,28.0,22.0,0
vkqtcgzuEQ,20.0,134.0,154.0,120.0,23.0,11.0,1
FJvAFQvDJP,17.0,181.0,198.0,146.0,32.0,20.0,0
tjsHQnUeZq,14.0,148.0,162.0,124.0,28.0,10.0,1
VNktrOYzgX,17.0,172.0,189.0,138.0,38.0,13.0,1
MfzvQOgVng,16.0,176.0,192.0,146.0,27.0,19.0,1
HGtWfaYCBu,15.0,171.0,186.0,143.0,28.0,15.0,1
PNtOqdRWgA,13.0,148.0,161.0,129.0,26.0,6.0,3
gkODxudeqx,12.0,150.0,162.0,131.0,21.0,10.0,3
tNCEjqwNkX,17.0,165.0,182.0,138.0,29.0,15.0,3
PkwCgsrdxF,11.0,163.0,174.0,141.0,28.0,5.0,0
mhbDsvUNsg,19.0,148.0,167.0,118.0,38.0,11.0,3
cflicfpExD,21.0,161.0,182.0,146.0,23.0,13.0,3
GxvALTVCxH,13.0,164.0,177.0,135.0,26.0,16.0,4
YnQvyzxIlz,15.0,181.0,196.0,146.0,34.0,16.0,3
ivnGCKfFmQ,15.0,170.0,185.0,144.0,33.0,8.0,0
ERtNErEqrh,13.0,181.0,194.0,160.0,26.0,8.0,3
XNulTXmwVQ,19.0,177.0,196.0,148.0,32.0,16.0,0
kdXnjTUuTS,17.0,144.0,161.0,134.0,21.0,6.0,0
TlFmylrhss,16.0,150.0,166.0,134.0,21.0,11.0,3
MaUgCMqabc,13.0,177.0,190.0,135.0,34.0,21.0,1
ZTqMqoLRyZ,16.0,150.0,166.0,121.0,26.0,19.0,1
xwdgTEFcpB,10.0,150.0,160.0,121.0,25.0,14.0,0
BLTHlNIGQd,16.0,158.0,174.0,128.0,31.0,15.0,3
nRJezUSkoT,19.0,171.0,190.0,137.0,33.0,20.0,1
rrLHcEoOAX,20.0,166.0,186.0,152.0,23.0,11.0,4
hRxEKOvJJT,26.0,157.0,183.0,148.0,26.0,9.0,0
TRHqBLahxv,20.0,161.0,181.0,137.0,28.0,16.0,3
IacEUMNZqy,9.0,161.0,170.0,131.0,26.0,13.0,4
EGMvGhwGAr,20.0,156.0,176.0,140.0,24.0,12.0,0
ErecdgQkok,17.0,146.0,163.0,115.0,31.0,17.0,0
qZXpIohevS,20.0,163.0,183.0,143.0,25.0,15.0,3
NAARMWhvci,17.0,182.0,199.0,152.0,36.0,11.0,3
bvYJesstSQ,13.0,149.0,162.0,124.0,26.0,12.0,0
chEoAmeHFa,11.0,157.0,168.0,121.0,34.0,13.0,3
nJrNyKxJAS,16.0,177.0,193.0,144.0,37.0,12.0,0
uUAtkvYyKA,11.0,158.0,169.0,129.0,23.0,17.0,1
oqMumAVWfV,14.0,167.0,181.0,136.0,27.0,18.0,3
oiyaKlmCSZ,16.0,168.0,184.0,140.0,30.0,14.0,0
OCdUEvvaCm,19.0,153.0,172.0,123.0,35.0,14.0,1
eQjLaCrtjk,21.0,161.0,182.0,137.0,32.0,13.0,0
klRTjilTDF,9.0,162.0,171.0,132.0,28.0,11.0,0
hxKYErdDJv,20.0,160.0,180.0,132.0,37.0,11.0,0
mDxUSiqlRA,20.0,164.0,184.0,146.0,24.0,14.0,3
nQxZeLlAYj,13.0,166.0,179.0,140.0,28.0,11.0,4
ONdsvAETtU,16.0,168.0,184.0,139.0,32.0,13.0,1
InCeXvoJwi,19.0,171.0,190.0,146.0,27.0,17.0,3
LVucmMtvEn,8.0,152.0,160.0,122.0,31.0,7.0,1
tvoPtnAExR,14.0,154.0,168.0,115.0,37.0,16.0,3
lKIMzOdOhI,14.0,163.0,177.0,134.0,31.0,12.0,0
ClbxIsJcLR,14.0,157.0,171.0,133.0,25.0,13.0,0
VvvkKTryCU,22.0,167.0,189.0,142.0,31.0,16.0,3
KQEKodwwQb,23.0,148.0,171.0,133.0,25.0,13.0,0
thlASDNiDe,11.0,169.0,180.0,142.0,22.0,16.0,0
AdDmlFqRUj,17.0,170.0,187.0,151.0,22.0,14.0,4
IPpRThsagI,15.0,167.0,182.0,144.0,30.0,8.0,0
zIRHTkWbcr,15.0,133.0,148.0,106.0,32.0,10.0,0
gASCMaautf,17.0,158.0,175.0,131.0,33.0,11.0,3
ZJzTVNdhPb,20.0,153.0,173.0,133.0,26.0,14.0,3
knhHQPCdQl,12.0,184.0,196.0,154.0,32.0,10.0,4
dBmHNCZFkR,10.0,165.0,175.0,142.0,24.0,9.0,1
jONZiZGCei,19.0,162.0,181.0,148.0,22.0,11.0,4
gbGcpqTHoS,21.0,182.0,203.0,153.0,32.0,18.0,3
BqUoTbFyqV,14.0,176.0,190.0,146.0,27.0,17.0,0
livOwWezse,15.0,153.0,168.0,118.0,34.0,16.0,4
JgTZieNhdk,11.0,174.0,185.0,146.0,28.0,11.0,0
IbRqpBuChZ,19.0,165.0,184.0,146.0,21.0,17.0,4
WmicTDYEAE,15.0,157.0,172.0,130.0,24.0,18.0,0
vDfrvpXDND,13.0,155.0,168.0,128.0,26.0,14.0,0
neXzNVtcsJ,16.0,160.0,176.0,130.0,34.0,12.0,1
WwktRdbqdX,13.0,179.0,192.0,145.0,31.0,16.0,3
EQJpiXQbRH,22.0,171.0,193.0,158.0,27.0,8.0,4
KiYRjElkQt,16.0,192.0,208.0,158.0,34.0,16.0,3
QBeRfZqJzj,12.0,156.0,168.0,130.0,33.0,5.0,4
uTKlTpSdmG,10.0,174.0,184.0,143.0,24.0,17.0,0
KIZfJOUPIi,9.0,140.0,149.0,116.0,27.0,6.0,0
ieTgXBZghX,13.0,177.0,190.0,144.0,33.0,13.0,3
LdhUDKIvFM,21.0,148.0,169.0,123.0,32.0,14.0,3
uXWtFVVpuK,15.0,172.0,187.0,131.0,37.0,19.0,0
xHMlsugVWy,17.0,153.0,170.0,136.0,24.0,10.0,3
LDicyHCHic,21.0,170.0,191.0,141.0,32.0,18.0,1
EjcdjpIBBy,17.0,175.0,192.0,139.0,29.0,24.0,0
lSdAkNMIIn,15.0,149.0,164.0,130.0,27.0,7.0,0
vfDfnPbZzk,17.0,171.0,188.0,138.0,29.0,21.0,0
rgfakTNAMq,18.0,157.0,175.0,140.0,24.0,11.0,0
MLfYrKrnHV,19.0,169.0,188.0,149.0,29.0,10.0,4
wMtcQuBCCW,15.0,165.0,180.0,135.0,30.0,15.0,0
tSdalKUclg,14.0,145.0,159.0,119.0,26.0,14.0,1
qVcAWTOLUX,12.0,162.0,174.0,128.0,36.0,10.0,0
JzcAfEwhZd,19.0,182.0,201.0,157.0,31.0,13.0,0
KfcOeXVWsz,17.0,164.0,181.0,134.0,26.0,21.0,0
DyhQDjRZTa,14.0,172.0,186.0,146.0,29.0,11.0,0
huudAMJkVg,19.0,154.0,173.0,133.0,21.0,19.0,0
wrQjyKumPy,7.0,155.0,162.0,126.0,22.0,14.0,0
QcqfQmhCln,13.0,162.0,175.0,135.0,28.0,12.0,0
sFjSNFVLQJ,15.0,164.0,179.0,133.0,31.0,15.0,3
efxnLTQOBS,14.0,158.0,172.0,135.0,27.0,10.0,0
MkdZbyPhXt,7.0,183.0,190.0,149.0,24.0,17.0,1
hpYCCjxzRD,10.0,175.0,185.0,142.0,26.0,17.0,0
uKvRwGBGYY,16.0,173.0,189.0,154.0,20.0,15.0,1
DKqlELvFlg,19.0,162.0,181.0,131.0,32.0,18.0,1
uJIXXwuSEG,7.0,167.0,174.0,131.0,27.0,16.0,4
ZWsORIbFXg,14.0,172.0,186.0,141.0,29.0,16.0,0
YuaLeNczVO,13.0,159.0,172.0,131.0,26.0,15.0,0
VOIWCgZVco,5.0,143.0,148.0,110.0,24.0,14.0,0
pNPWAhNFyA,18.0,166.0,184.0,127.0,39.0,18.0,3
mQLhJONTJU,21.0,158.0,179.0,135.0,28.0,16.0,1
WuINULrXNW,19.0,155.0,174.0,129.0,34.0,11.0,0
YejIHeLPVh,16.0,177.0,193.0,150.0,33.0,10.0,0
SwSrzgsllH,17.0,155.0,172.0,134.0,26.0,12.0,3
EIsTdfICMM,15.0,168.0,183.0,140.0,31.0,12.0,1
QAXZrhyBbV,21.0,134.0,155.0,123.0,21.0,11.0,1
xhrEGUFWWc,15.0,153.0,168.0,133.0,24.0,11.0,0
glMOtPfaUN,17.0,137.0,154.0,122.0,24.0,8.0,0
osTHOqrJeq,24.0,149.0,173.0,125.0,34.0,14.0,1
YVchodeevj,19.0,174.0,193.0,148.0,29.0,16.0,1
kVYORTdMSr,19.0,134.0,153.0,113.0,24.0,16.0,0
VrhZDZZIVA,15.0,165.0,180.0,133.0,29.0,18.0,0
xLLyZdTSvm,16.0,171.0,187.0,141.0,32.0,14.0,4
xLBTBnqIgw,17.0,145.0,162.0,122.0,27.0,13.0,0
vjxLiGNzfx,21.0,156.0,177.0,140.0,23.0,14.0,1
ATkDsYFVSO,19.0,162.0,181.0,136.0,27.0,18.0,0
HPVlQcIFnE,11.0,163.0,174.0,132.0,29.0,13.0,1
PEGQiMFjOk,16.0,188.0,204.0,154.0,32.0,18.0,3
cFKlAMEUor,16.0,148.0,164.0,116.0,36.0,12.0,1
bjyEGxHqXw,13.0,155.0,168.0,124.0,25.0,19.0,0
mVejtbjveQ,16.0,183.0,199.0,148.0,37.0,14.0,1
DZYHieozFP,16.0,163.0,179.0,134.0,28.0,17.0,0
wjUZZdzcPc,18.0,179.0,197.0,139.0,43.0,15.0,0
fUgIJNFOEj,13.0,140.0,153.0,127.0,15.0,11.0,1
qpYaQKPFJS,15.0,178.0,193.0,153.0,25.0,15.0,0
AGvQFNLvTy,12.0,155.0,167.0,130.0,28.0,9.0,0
IAUzytcwVp,18.0,166.0,184.0,137.0,33.0,14.0,0
FxmOaPfQno,17.0,178.0,195.0,143.0,34.0,18.0,0
NiSJiMtXoZ,15.0,173.0,188.0,138.0,31.0,19.0,3
rdUwyIYcTp,15.0,155.0,170.0,129.0,31.0,10.0,0
ovxaOFPvJw,17.0,164.0,181.0,145.0,24.0,12.0,3
BkrjEECGJp,16.0,147.0,163.0,121.0,29.0,13.0,0
WOpKzjUIQI,10.0,167.0,177.0,135.0,24.0,18.0,3
kTzKQaXuWm,23.0,167.0,190.0,147.0,25.0,18.0,0
DKOJyllrpC,18.0,167.0,185.0,146.0,24.0,15.0,3
nhilXupdhw,12.0,169.0,181.0,148.0,28.0,5.0,4
EqbyEoktjV,14.0,161.0,175.0,137.0,26.0,12.0,3
xWQwxuPUky,12.0,144.0,156.0,119.0,21.0,16.0,4
cAZHenvwHV,18.0,167.0,185.0,143.0,23.0,19.0,1
fsPuxZYoPo,13.0,182.0,195.0,152.0,31.0,12.0,3
YNMwbcmGMM,19.0,168.0,187.0,148.0,29.0,10.0,3
JEfaqIJHAB,20.0,152.0,172.0,136.0,19.0,17.0,0
XcWowvFMvP,21.0,171.0,192.0,136.0,39.0,17.0,0
cnznnsWRWy,17.0,133.0,150.0,118.0,19.0,13.0,0
MntIVtjvJO,13.0,156.0,169.0,118.0,30.0,21.0,3
ksrZJcfdbc,12.0,164.0,176.0,130.0,32.0,14.0,4
kvSVAIDGNY,11.0,180.0,191.0,143.0,28.0,20.0,1
uFbppSNUvs,11.0,178.0,189.0,131.0,32.0,26.0,0
jWXXzjPYvy,19.0,155.0,174.0,138.0,26.0,10.0,1
dJIuetAYOP,15.0,166.0,181.0,154.0,18.0,9.0,0
gMmCZJYMBS,21.0,140.0,161.0,112.0,36.0,13.0,0
AkGqwJLjUm,14.0,186.0,200.0,157.0,24.0,19.0,1
yGnPthNDLb,13.0,177.0,190.0,142.0,33.0,15.0,0
HoOvSvIQrC,13.0,155.0,168.0,130.0,27.0,11.0,4
uAXVZvXpxG,13.0,158.0,171.0,128.0,33.0,10.0,0
AhBJRMJmFl,13.0,155.0,168.0,126.0,30.0,12.0,0
MUKNqGXxYH,8.0,175.0,183.0,136.0,35.0,12.0,0
ggDUWHtdCI,14.0,157.0,171.0,130.0,31.0,10.0,3
bzzWJnJXSk,16.0,171.0,187.0,148.0,25.0,14.0,3
EVSqvSKQvJ,18.0,167.0,185.0,140.0,26.0,19.0,1
GqwpkueeWC,13.0,159.0,172.0,115.0,35.0,22.0,0
qaHOPwWdly,15.0,160.0,175.0,139.0,31.0,5.0,3
ZWotLzFtaR,16.0,144.0,160.0,121.0,30.0,9.0,1
wPzuKqCPnz,20.0,158.0,178.0,132.0,29.0,17.0,3
UEcpPsOgfk,16.0,184.0,200.0,158.0,28.0,14.0,0
VaehxmgZOI,12.0,175.0,187.0,143.0,28.0,16.0,0
EtXehXIyrN,15.0,135.0,150.0,123.0,19.0,8.0,0
sWLgLsptXO,12.0,169.0,181.0,147.0,25.0,9.0,3
atwFUgCQSk,17.0,163.0,180.0,138.0,29.0,13.0,3
mjSeKOxUxj,12.0,153.0,165.0,128.0,24.0,13.0,4
zuZXxWYpPH,14.0,177.0,191.0,147.0,28.0,16.0,1
Cpngvlxgtt,19.0,148.0,167.0,127.0,31.0,9.0,1
cEtOvTeiBT,9.0,159.0,168.0,135.0,26.0,7.0,3
IaJvslWoSL,10.0,158.0,168.0,119.0,34.0,15.0,0
nAxSyOAPqN,23.0,157.0,180.0,143.0,24.0,13.0,3
uWdvmuCNXx,10.0,168.0,178.0,142.0,25.0,11.0,0
HrUgzrTFjL,14.0,155.0,169.0,134.0,24.0,11.0,4
rFFWSBFMxH,13.0,147.0,160.0,111.0,32.0,17.0,3
LipqDZkqao,15.0,164.0,179.0,124.0,37.0,18.0,4
AyehevAVrI,17.0,173.0,190.0,146.0,26.0,18.0,0
NxoVZKIvHA,16.0,145.0,161.0,115.0,29.0,17.0,0
CVAetlBohg,11.0,182.0,193.0,152.0,20.0,21.0,0
FJERaXgJrc,16.0,146.0,162.0,133.0,22.0,7.0,3
QSEUPdgOWq,11.0,168.0,179.0,140.0,27.0,12.0,3
IGhLPWsDaY,15.0,178.0,193.0,143.0,37.0,13.0,3
